INFO:root: Niter: 5	date: 2017-02-10 10:08:32	dsname: Test mini sensor	temp_f: 75.425 (2017-02-10 10:08:32; pi-st.py:114)
INFO:urllib3.connectionpool: Starting new HTTPS connection (1): graph.api.smartthings.com (2017-02-10 10:08:32; connectionpool.py:697)
INFO:root: Found DS18B20 sensor 28-800000262ce2 (2017-02-10 11:21:23; pi-st.py:51)
INFO:root: Found DS18B20 sensor 28-800000272f0f (2017-02-10 11:21:23; pi-st.py:51)
INFO:root: Endpoint URL for Test waterproof sensor found!... (2017-02-10 11:21:23; pi-st.py:96)
INFO:root: Endpoint URL for Test mini sensor found!... (2017-02-10 11:21:24; pi-st.py:96)
INFO:root: Niter: 120	date: 2017-02-10 11:21:24	dsname: Test waterproof sensor	temp_f: 75.3116 (2017-02-10 11:21:24; pi-st.py:115)
INFO:root: Niter: 120	date: 2017-02-10 11:21:25	dsname: Test mini sensor	temp_f: 75.425 (2017-02-10 11:21:25; pi-st.py:115)
INFO:root: Niter: 119	date: 2017-02-10 11:21:40	dsname: Test waterproof sensor	temp_f: 74.975 (2017-02-10 11:21:40; pi-st.py:115)
INFO:root: Niter: 119	date: 2017-02-10 11:21:41	dsname: Test mini sensor	temp_f: 74.975 (2017-02-10 11:21:41; pi-st.py:115)
INFO:root: Niter: 118	date: 2017-02-10 11:21:57	dsname: Test mini sensor	temp_f: 75.0866 (2017-02-10 11:21:57; pi-st.py:115)
INFO:root: Niter: 117	date: 2017-02-10 11:22:12	dsname: Test mini sensor	temp_f: 74.975 (2017-02-10 11:22:12; pi-st.py:115)
INFO:root: Niter: 116	date: 2017-02-10 11:22:28	dsname: Test waterproof sensor	temp_f: 74.86160000000001 (2017-02-10 11:22:28; pi-st.py:115)
INFO:root: Niter: 114	date: 2017-02-10 11:22:59	dsname: Test mini sensor	temp_f: 75.0866 (2017-02-10 11:22:59; pi-st.py:115)
INFO:root: Niter: 113	date: 2017-02-10 11:23:15	dsname: Test waterproof sensor	temp_f: 74.75 (2017-02-10 11:23:15; pi-st.py:115)
